PRIORIDAD,SLUG,CIUDAD,PAÍS,POBLACIÓN
5M+,lahore,"Lahore","Pakistan",13,000,000
5M+,karachi,"Karachi","Pakistan",16,000,000
5M+,dhaka,"Dhaka","Bangladesh",21,000,000
5M+,chengdu,"Chengdu","China",9,000,000
5M+,wuhan,"Wuhan","China",11,000,000
5M+,tianjin,"Tianjin","China",14,000,000
5M+,pune,"Pune","India",7,400,000
5M+,ahmedabad,"Ahmedabad","India",8,400,000
5M+,kolkata,"Kolkata","India",14,800,000
5M+,khartoum,"Khartoum","Sudan",6,200,000
5M+,caracas,"Caracas","Venezuela",5,200,000
2M+,houston,"Houston","United States",7,300,000
2M+,detroit,"Detroit","United States",3,500,000
2M+,minneapolis,"Minneapolis","United States",3,700,000
2M+,san-diego,"San Diego","United States",3,300,000
2M+,portland,"Portland","United States",2,500,000
2M+,las-vegas,"Las Vegas","United States",2,200,000
2M+,saint-petersburg,"Saint Petersburg","Russia",5,400,000
2M+,antwerp,"Antwerp","Belgium",530,000
2M+,manchester,"Manchester","United Kingdom",2,800,000
2M+,katowice,"Katowice","Poland",2,700,000
2M+,lodz,"Łódź","Poland",680,000
2M+,lviv,"Lviv","Ukraine",720,000
2M+,kharkiv,"Kharkiv","Ukraine",1,400,000
2M+,calgary,"Calgary","Canada",1,600,000
2M+,edmonton,"Edmonton","Canada",1,400,000
2M+,ottawa,"Ottawa","Canada",1,400,000
2M+,barranquilla,"Barranquilla","Colombia",1,200,000
2M+,la-paz,"La Paz","Bolivia",1,900,000
2M+,asuncion,"Asunción","Paraguay",2,300,000
2M+,guayaquil,"Guayaquil","Ecuador",2,700,000
2M+,tashkent,"Tashkent","Uzbekistan",2,700,000
2M+,baku,"Baku","Azerbaijan",2,300,000
2M+,tbilisi,"Tbilisi","Georgia",1,200,000
2M+,yerevan,"Yerevan","Armenia",1,100,000
2M+,minsk,"Minsk","Belarus",2,000,000
2M+,chisinau,"Chișinău","Moldova",690,000
2M+,skopje,"Skopje","North Macedonia",540,000
2M+,dakar,"Dakar","Senegal",3,700,000
